Link,Titulo,Descripcion,Tipo,Valor,Fecha,Dormitorios,Baños,Comuna
https://www.yapo.cl/los_rios/arrendar/cabana_amoblada_67391971.htm?ca=11_s&first=1&oa=67391971&xsp=0,Cabaña amoblada," Cabaña amoblada, en sector residencial Parque Krahmer, para persona sola que trabaje, con contrato de trabajo comprobable. Incluye agua, tv cable y wi-fi. Se arrienda con contrato notarial y mes de garantía.Llamar al fono 958484738",Departamento,180000,5 Diciembre 15:32,1,1,Valdivia
https://www.yapo.cl/los_rios/arrendar/casa_para_arrendar__68772950.htm?ca=11_s&oa=68772950&xsp=1,casa para arrendar," Tengo subsidio de arriendo el subsidio es de hasta 230.000 pesos. Si es posible que la casa tenga 3 o 2 dormitorios, 1 baño y patio por que tengo un perro",Casa,230000,5 Diciembre 15:09,3,1,Valdivia
https://www.yapo.cl/los_rios/arrendar/cabana_68720619.htm?ca=11_s&oa=68720619&xsp=2,cabaña," Excelentes y confortables cabañas para arriendo mensual, sean estudiantes o año corrido. Equipadas en recinto muy seguro. Sector regional, a pasos del Líder, hospital, a 15 minutos caminando al centro. Incluye agua, tv cable e internet. Dos dormitorios, un baño y un cómodo ambiente de living, comedor y cocina.",Departamento,320000,5 Diciembre 15:08,2,1,Valdivia
https://www.yapo.cl/los_rios/arrendar/cabana_68624280.htm?ca=11_s&oa=68624280&xsp=3,cabaña," Arriendo 2 cabañas, cada una cuenta con 2 dormitorios con camas, refrigerador, calefont, cocina a gas, mesa con sillas, repisas y artículos de cocina. Incluye wifi, tv cable y agua.  Consumo de electricidad de cada cabaña, se paga aparte cada una cuenta con su propio medidor de luz.Para personas responsables que estudien o trabajen, sin niños, ni mascotas.No se permiten fiestas ni ruidos molestos, es un sector muy tranquilo, ubicado en Villa Cau Cau.Feria los días sábados, locomoción cerca de colectivos y micros hacia el centro y a la costa.Se pide mes adelantado 200.000 y garantía de 50.000 pesos.Disponible a contar del día 3 de diciembre.",Casa,200000,5 Diciembre 14:26,2,1,Valdivia
https://www.yapo.cl/los_rios/arrendar/arriendo_departamento_estudio_68707894.htm?ca=11_s&oa=68707894&xsp=4,Arriendo Departamento Estudio," Arriendo Departamento Estudio, $ 150.000 mensual,Incluye WIFI, luz y agua se paga aparte.Telefono +56 9 9784 0191Dirección, Calle Pedro Videla N°10, Villa los Copihues",Departamento,150000,5 Diciembre 13:45,1,1,Valdivia
https://www.yapo.cl/los_rios/arrendar/casa_en_valdivia_68770275.htm?ca=11_s&oa=68770275&xsp=5,casa en Valdivia, Se busca casa en arriendo en sector cercano a Colegio Windsor o en las afueras de la ciudad (tipo parcela). Las características que se buscan son:- 3 dormitorios- 2 baños- Sala de estar- Escritorio o 4ta pieza- Patio trasero- Logia- Comedor de diario de preferencia.,Casa,700000,5 Diciembre 13:26,4,2,Valdivia
https://www.yapo.cl/los_rios/arrendar/cabana_sector_el_bosque_68664358.htm?ca=11_s&oa=68664358&xsp=6,Cabaña sector El Bosque," Cabaña tipo departamento completamente equipada. Arriendo incluye agua, luz, wifi, cable.Ubicada en sector El Bosque, tranquilo, sin ruidos, seguro.Supermercado y farmacia cerca, áreas verdes.",Departamento,240000,5 Diciembre 13:08,1,1,Valdivia
https://www.yapo.cl/los_rios/arrendar/estacionamiento_centro_de_valdivia__68769444.htm?ca=11_s&oa=68769444&xsp=7,estacionamiento centro de Valdivia, Se arrienda estacionamiento a una cuadra de Iglesia San Francisco. El estacionamiento cuenta con entrada independiente y cámaras de seguridad.,"Estacionamiento, bodega u otro",45000,5 Diciembre 13:04,,,Valdivia
https://www.yapo.cl/los_rios/arrendar/habitacion_estudiantes__trabajadores_con_factura_48799866.htm?ca=11_s&oa=48799866&xsp=8,Habitacion Estudiantes /Trabajadores con Factura," Se arrienda habitación con  pension completa  $ 240.000.- incluye desayuno, almuerzo, once/comida. Tv Led con cable en habitación, Wifi, calefacción, a 8 cuadras del centro, locomoción lineas 1,2 y 3, cercana a Universidad San Sebastian y Austral. Arriendo por Dia $ 15 mil incluye Desayuno. Se emite Factura o Boleta segun requerimiento.",Pieza,240000,5 Diciembre 12:57,,,Valdivia
https://www.yapo.cl/los_rios/arrendar/cabana_amoblada_68478439.htm?ca=11_s&oa=68478439&xsp=9,Cabaña amoblada," Cabaña dos pisos con dos dormitorios.uno con cama matrimonial y otro chico con cama chica, a 4 cuadras del centro en calle phillippi.incluye internet y cable.medidores de luz y agua aparte no se admiten mascotas.arriendo año corrido.contrato minimo por 1 año ( no se arrienda a estudiantes)",Casa,230000,5 Diciembre 12:40,2,3,Valdivia
